candidate_id,drawer_aperture,family_id,init_state_id,layout,possession,support_pair_id,support_stratum,transit_locus,source_id,source_run_id,source_construction_revision,root_final_timestep,source_record_sha256,state_sha256,schema_migration,root_validation_pass,certificate_pass,joint_support_distance,exact_event_reference_count,drawer_execution_mode,drawer_feasibility_kind,drawer_success_count,drawer_proposal_count,drawer_success_fraction,drawer_selected_proposal_index,drawer_selected_episode_index,drawer_selected_budgeted_steps,drawer_selected_executed_steps,drawer_selected_eef_path_m,cabinet_execution_mode,cabinet_feasibility_kind,cabinet_success_count,cabinet_proposal_count,cabinet_success_fraction,cabinet_selected_proposal_index,cabinet_selected_episode_index,cabinet_selected_budgeted_steps,cabinet_selected_executed_steps,cabinet_selected_eef_path_m
stagea__drawer-closed__possession-on-table__locus-drawer-side__support-transverse-low-support__layout-b,closed,drawer-closed__possession-on-table__locus-drawer-side,1,B,on_table,drawer-closed__possession-on-table__locus-drawer-side__layout-b,transverse_low_support,drawer_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,58b8570fe9c501b51e2a1fc179fb7cdff7b00a0fe437c9689041ea0debb947e8,f3a9670c52d8a7d4f88f23d52c53122034a9300550401a3e21e224007a9ed5d2,additive_full_replay_provenance_v1,True,True,0.3298950681260814,6,full_trajectory_replay,successful_proposal_ledger_v1,28,36,0.7777777777777778,1,694,373,363,1.6191406551549496,full_trajectory_replay,successful_proposal_ledger_v1,40,46,0.8695652173913043,0.0,438.0,286.0,274.0,1.006315974211942
stagea__drawer-open__possession-grasped__locus-cabinet-side__support-demonstration-near__layout-a,open,drawer-open__possession-grasped__locus-cabinet-side,0,A,grasped,drawer-open__possession-grasped__locus-cabinet-side__layout-a,demonstration_near,cabinet_side,v37_open_grasped_completion,phase3b_stage_a_completion_v37_20260803T101257Z,phase3b-stage-a-v37,560,ac87b7167484ecd5a4200cb7b36d6bd0bcbdf644ac03c3e85c06b8ba6acd8e68,a05d2b20e031ac60cf6405073a0280c582419f30470ebea2eabb107cfe200599,none,True,True,0.9018596846941248,0,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,11,36,0.3055555555555556,1,694,1426,1417,2.291512486795134,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,1,46,0.021739130434782608,31.0,474.0,1412.0,1396.0,1.9106318355309897
stagea__drawer-open__possession-grasped__locus-cabinet-side__support-demonstration-near__layout-b,open,drawer-open__possession-grasped__locus-cabinet-side,1,B,grasped,drawer-open__possession-grasped__locus-cabinet-side__layout-b,demonstration_near,cabinet_side,v31_open_hard_pair,phase3b_stage_a_20260729T033540Z,phase3b-stage-a-v31,540,e002bc97c55c4a0ac6a049b89258365cd15ea62a5f0fe31dd5633ca5f9f66fab,d9d24e713ac874a45266a71db5ebd798f1dab0f0d21619848110f65231ef99f1,additive_full_replay_provenance_v1,True,True,0.8987492563116805,0,full_trajectory_replay,successful_proposal_ledger_v1,2,36,0.05555555555555555,4,526,1148,1136,2.335542700189744,full_trajectory_replay,successful_proposal_ledger_v1,1,46,0.021739130434782608,31.0,474.0,1073.0,1057.0,1.8885311053482208
stagea__drawer-open__possession-grasped__locus-cabinet-side__support-transverse-low-support__layout-a,open,drawer-open__possession-grasped__locus-cabinet-side,0,A,grasped,drawer-open__possession-grasped__locus-cabinet-side__layout-a,transverse_low_support,cabinet_side,v38_factorized_promotion,phase3b_stage_a_promotion_v38_20260803T045149Z,phase3b-stage-a-v37,560,a89bd91c923925fbd2330fdeb74f585f457c61cb2f81e8f5e42a785bed263a7e,e800c3ac08e6c4f66486f2c6e637b22683474b6696e00d837661abab24ad4255,none,True,True,0.9023421086930062,0,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,10,36,0.2777777777777778,1,694,1426,1412,2.22705897589118,action_intrinsic_pregrasp_bowl_registered_v1,factorized_policy_free_path_v1,0,46,0.0,,,,,
stagea__drawer-open__possession-grasped__locus-cabinet-side__support-transverse-low-support__layout-b,open,drawer-open__possession-grasped__locus-cabinet-side,1,B,grasped,drawer-open__possession-grasped__locus-cabinet-side__layout-b,transverse_low_support,cabinet_side,v31_open_hard_pair,phase3b_stage_a_20260729T033540Z,phase3b-stage-a-v31,540,c468acdb1406e827e95fa389b442db242e4b9bfc1e9fd32e4d442416a5def885,1183d736c6d74e6dc4cc4a6e153f2a66c6376aeedb2a0c1c2c82b40d9ea16c3e,additive_full_replay_provenance_v1,True,True,0.9038110517308897,0,full_trajectory_replay,successful_proposal_ledger_v1,1,36,0.027777777777777776,4,526,1148,1136,2.303357570084894,full_trajectory_replay,successful_proposal_ledger_v1,1,46,0.021739130434782608,14.0,638.0,1066.0,1045.0,1.7581970052739324
stagea__drawer-open__possession-grasped__locus-drawer-side__support-demonstration-near__layout-a,open,drawer-open__possession-grasped__locus-drawer-side,0,A,grasped,drawer-open__possession-grasped__locus-drawer-side__layout-a,demonstration_near,drawer_side,v37_open_grasped_completion,phase3b_stage_a_completion_v37_20260803T101257Z,phase3b-stage-a-v37,560,77ff2fae79cacf23c05bca4b260104a11cdae44b76693fac5d09ca087d642010,4e50e93b0110bdc0d64763c9018d109691bc9ff8504d902267f742c65614e9cd,none,True,True,0.8558673896000211,4,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,12,36,0.3333333333333333,1,694,1426,1417,2.160133426872236,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,1,46,0.021739130434782608,31.0,474.0,1412.0,1394.0,1.7721288554183663
stagea__drawer-open__possession-grasped__locus-drawer-side__support-demonstration-near__layout-b,open,drawer-open__possession-grasped__locus-drawer-side,1,B,grasped,drawer-open__possession-grasped__locus-drawer-side__layout-b,demonstration_near,drawer_side,v37_open_grasped_completion,phase3b_stage_a_completion_v37_20260803T101257Z,phase3b-stage-a-v37,560,4fee177f78c08c4117c7d2a62d6d20e01f85048ff9c77fc6a554c4acf86f8045,f4758a89bcfd9399b9c04a1f7310ab4b4efa0e645ead898a7474079e51c9a3b5,none,True,True,0.8310016465578605,0,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,7,36,0.19444444444444445,1,694,1426,1417,2.1420691539725913,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,2,46,0.043478260869565216,18.0,699.0,1406.0,1390.0,1.843439808561554
stagea__drawer-open__possession-grasped__locus-drawer-side__support-transverse-low-support__layout-a,open,drawer-open__possession-grasped__locus-drawer-side,0,A,grasped,drawer-open__possession-grasped__locus-drawer-side__layout-a,transverse_low_support,drawer_side,v37_open_grasped_completion,phase3b_stage_a_completion_v37_20260803T101257Z,phase3b-stage-a-v37,560,461a60ee4df67375d6fd2b0787a9b87659e23c10097f01663461cc577df7f578,dd94392eaeb45fa6cc4bac0a4ed3517df85520d93aa7ed13b3c86a27a896c430,none,True,True,0.7881960307098977,4,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,10,36,0.2777777777777778,1,694,1426,1417,2.121928858393744,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,1,46,0.021739130434782608,31.0,474.0,1412.0,1393.0,1.7359527384806708
stagea__drawer-open__possession-grasped__locus-drawer-side__support-transverse-low-support__layout-b,open,drawer-open__possession-grasped__locus-drawer-side,1,B,grasped,drawer-open__possession-grasped__locus-drawer-side__layout-b,transverse_low_support,drawer_side,v37_open_grasped_completion,phase3b_stage_a_completion_v37_20260803T101257Z,phase3b-stage-a-v37,560,9f7ac4f8cadb22addf28c0c715f9e8a772d27f63137b134ff8359a9eccea8f92,14a36d126490a505cf9d55bd24b7c87ce816ae2d69a1ccc09c99d7f575b830a8,none,True,True,0.7770903658935799,0,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,8,36,0.2222222222222222,1,694,1426,1417,2.0941823019798074,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,2,46,0.043478260869565216,18.0,699.0,1406.0,1390.0,1.8046219041912241
stagea__drawer-open__possession-on-table__locus-cabinet-side__support-demonstration-near__layout-a,open,drawer-open__possession-on-table__locus-cabinet-side,0,A,on_table,drawer-open__possession-on-table__locus-cabinet-side__layout-a,demonstration_near,cabinet_side,v35_open_completion,phase3b_stage_a_completion_20260731T075647Z,phase3b-stage-a-v35,540,fe83ffe184f2e35d3f41bf9b275c9ad5b23a51f243753b55d48cb20ce10b4e6c,0ccfffb3c38f45dbcda347baca0342a2641c3498d30e9ad389c8f71384ee8eae,none,True,True,0.9985844797024647,0,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,10,36,0.2777777777777778,1,694,656,643,1.5441981145432393,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,1,46,0.021739130434782608,31.0,474.0,642.0,624.0,1.210390506683944
stagea__drawer-open__possession-on-table__locus-cabinet-side__support-demonstration-near__layout-b,open,drawer-open__possession-on-table__locus-cabinet-side,1,B,on_table,drawer-open__possession-on-table__locus-cabinet-side__layout-b,demonstration_near,cabinet_side,v35_open_completion,phase3b_stage_a_completion_20260731T075647Z,phase3b-stage-a-v35,540,147486ade9ad2d85af071d1776f87d0801cd0334c01e091aee72cb2685d5b7a5,dffa908750e45560530e65a98d53ce72aaa16f1044b001d67c70a5990e7f2e6d,none,True,True,1.0165284965144203,0,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,9,36,0.25,4,526,664,637,1.5454664528608968,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,4,46,0.08695652173913043,31.0,474.0,642.0,619.0,1.2056762184122751
stagea__drawer-open__possession-on-table__locus-cabinet-side__support-transverse-low-support__layout-a,open,drawer-open__possession-on-table__locus-cabinet-side,0,A,on_table,drawer-open__possession-on-table__locus-cabinet-side__layout-a,transverse_low_support,cabinet_side,v35_open_completion,phase3b_stage_a_completion_20260731T075647Z,phase3b-stage-a-v35,540,a5dd838a0b1a3d76572dff1d85193fcca8fd32fc9ce51088c23538e5bf90695b,12db007b1b275225f5e99cc24a1aa865facb02e186efafdcbd64de523535ebdc,none,True,True,0.9995298232591309,0,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,10,36,0.2777777777777778,1,694,656,647,1.548803187543436,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,1,46,0.021739130434782608,31.0,474.0,642.0,623.0,1.1743350489915798
stagea__drawer-open__possession-on-table__locus-cabinet-side__support-transverse-low-support__layout-b,open,drawer-open__possession-on-table__locus-cabinet-side,1,B,on_table,drawer-open__possession-on-table__locus-cabinet-side__layout-b,transverse_low_support,cabinet_side,v35_open_completion,phase3b_stage_a_completion_20260731T075647Z,phase3b-stage-a-v35,540,481a315fae487be09c7f716a9ab99bbcad14c392389b8f5d2763be933af5e503,a33ec8f60d61d520e4d25d2e2a987a9fa79f18ee789b7f0ee8159f5b519549cb,none,True,True,1.0177127569851128,0,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,8,36,0.2222222222222222,1,694,656,646,1.5462171258495996,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,4,46,0.08695652173913043,18.0,699.0,636.0,620.0,1.271578951965697
stagea__drawer-open__possession-on-table__locus-drawer-side__support-demonstration-near__layout-a,open,drawer-open__possession-on-table__locus-drawer-side,0,A,on_table,drawer-open__possession-on-table__locus-drawer-side__layout-a,demonstration_near,drawer_side,v34_open_completion,phase3b_stage_a_20260731T035449Z,phase3b-stage-a-v34,540,08655ea79eb53162b869d39148f76f86723933d626c5ab6bd685b81f00a56a4f,e35d668372b7554d68718f9a30e177a7e5c1f2692b30073f7fe643d8bfe2d80d,none,True,True,0.5839192860889497,1,action_intrinsic_pregrasp_phase_continuation_v2,successful_proposal_ledger_v1,10,36,0.2777777777777778,1,694,656,646,1.5605541619707606,action_intrinsic_pregrasp_phase_continuation_v2,successful_proposal_ledger_v1,1,46,0.021739130434782608,31.0,474.0,642.0,625.0,1.2112324240798071
stagea__drawer-open__possession-on-table__locus-drawer-side__support-demonstration-near__layout-b,open,drawer-open__possession-on-table__locus-drawer-side,1,B,on_table,drawer-open__possession-on-table__locus-drawer-side__layout-b,demonstration_near,drawer_side,v35_open_completion,phase3b_stage_a_completion_20260731T075647Z,phase3b-stage-a-v35,540,d4efe674f4f5212119bc2bcb8f9a3eccab4ad33c7508d66c905e3b2e8eb388f6,f2496d6f78d7cf2379653137b2e83806f5390151211c57d146cf75dd8eb9c792,none,True,True,0.582896288597236,7,action_intrinsic_pregrasp_phase_continuation_v2,successful_proposal_ledger_v1,18,36,0.5,9,627,650,639,1.564166744206112,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,5,46,0.10869565217391304,25.0,743.0,638.0,620.0,1.118910022598817
stagea__drawer-open__possession-on-table__locus-drawer-side__support-transverse-low-support__layout-a,open,drawer-open__possession-on-table__locus-drawer-side,0,A,on_table,drawer-open__possession-on-table__locus-drawer-side__layout-a,transverse_low_support,drawer_side,v35_open_completion,phase3b_stage_a_completion_20260731T075647Z,phase3b-stage-a-v35,540,1e9d692325d1fc91cb6180dc47a1a8b6adc31fd3fb61fd1715463116d9750aea,af2e6ead2e84b76012bbe45c3e4e54b5dcef31f96d88f87c299668e09b42d8ae,none,True,True,0.5826856804590246,1,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,11,36,0.3055555555555556,1,694,656,647,1.5365920219619542,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,1,46,0.021739130434782608,31.0,474.0,642.0,623.0,1.1680065418884171
stagea__drawer-open__possession-on-table__locus-drawer-side__support-transverse-low-support__layout-b,open,drawer-open__possession-on-table__locus-drawer-side,1,B,on_table,drawer-open__possession-on-table__locus-drawer-side__layout-b,transverse_low_support,drawer_side,v35_open_completion,phase3b_stage_a_completion_20260731T075647Z,phase3b-stage-a-v35,540,6b46e9ee898881b6030ff1d906a5ae4736fe69383a649ec9b0d7703bc16b752a,f7ba460ba36b0ddb65e207351719e95f35f996aa3d8f23a07b551875d823545d,none,True,True,0.58090093115186,7,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,8,36,0.2222222222222222,1,694,656,646,1.5174985408765829,action_intrinsic_pregrasp_bowl_registered_v1,successful_proposal_ledger_v1,5,46,0.10869565217391304,31.0,474.0,642.0,619.0,1.1522276164546064
